Date,Brand,Type,Buy,Buy Change,Sell,Sell Change
28/02/2025 15:15:04,PNJ,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:04,PNJ,Ring,89.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:04,SJC,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:04,SJC,Ring,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.400 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:04,PHU-QUY,Bullion,88.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:04,PHU-QUY,Ring,89.700 x1000đ/lượng,+142 x1000đ/lượng (13%),91.200 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:03,BAO-TIN-MINH-CHAU,Bullion,88.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:03,BAO-TIN-MINH-CHAU,Ring,90.050 x1000đ/lượng,+142 x1000đ/lượng (13%),91.300 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:04,BAO-TIN-MANH-HAI,Ring,90.050 x1000đ/lượng,+142 x1000đ/lượng (13%),90.050 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:03,MI-HONG,Bullion,89.900 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:03,MI-HONG,Ring,89.700 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:03,NGOC-THAM,Bullion,88.800 x1000đ/lượng,+142 x1000đ/lượng (13%),91.300 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 15:15:03,NGOC-THAM,Ring,88.800 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,DOJI,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,DOJI,Ring,90.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:05,PNJ,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:05,PNJ,Ring,89.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,SJC,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,SJC,Ring,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.400 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:02,PHU-QUY,Bullion,88.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:02,PHU-QUY,Ring,89.700 x1000đ/lượng,+142 x1000đ/lượng (13%),91.200 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:05,BAO-TIN-MINH-CHAU,Bullion,88.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:05,BAO-TIN-MINH-CHAU,Ring,90.050 x1000đ/lượng,+142 x1000đ/lượng (13%),91.300 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:02,BAO-TIN-MANH-HAI,Ring,90.050 x1000đ/lượng,+142 x1000đ/lượng (13%),90.050 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,MI-HONG,Bullion,90.400 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,MI-HONG,Ring,90.200 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,NGOC-THAM,Bullion,89.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
28/02/2025 18:10:03,NGOC-THAM,Ring,89.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.200 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,DOJI,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,DOJI,Ring,90.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:04,PNJ,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:04,PNJ,Ring,89.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,SJC,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,SJC,Ring,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.400 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:04,PHU-QUY,Bullion,88.700 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:04,PHU-QUY,Ring,89.600 x1000đ/lượng,+142 x1000đ/lượng (13%),91.100 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:04,BAO-TIN-MINH-CHAU,Bullion,88.600 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:04,BAO-TIN-MINH-CHAU,Ring,90.100 x1000đ/lượng,+142 x1000đ/lượng (13%),91.300 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:04,BAO-TIN-MANH-HAI,Ring,90.100 x1000đ/lượng,+142 x1000đ/lượng (13%),90.100 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,MI-HONG,Bullion,90.500 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,MI-HONG,Ring,90.300 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,NGOC-THAM,Bullion,89.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 09:20:03,NGOC-THAM,Ring,89.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.200 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,DOJI,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,DOJI,Ring,90.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,PNJ,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,PNJ,Ring,89.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:02,SJC,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:02,SJC,Ring,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.400 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,PHU-QUY,Bullion,88.700 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,PHU-QUY,Ring,89.600 x1000đ/lượng,+142 x1000đ/lượng (13%),91.100 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,BAO-TIN-MINH-CHAU,Bullion,88.600 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,BAO-TIN-MINH-CHAU,Ring,90.100 x1000đ/lượng,+142 x1000đ/lượng (13%),91.300 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:02,BAO-TIN-MANH-HAI,Ring,90.100 x1000đ/lượng,+142 x1000đ/lượng (13%),90.100 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,MI-HONG,Bullion,90.600 x1000đ/lượng,+142 x1000đ/lượng (13%),91.200 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,MI-HONG,Ring,90.400 x1000đ/lượng,+142 x1000đ/lượng (13%),91.200 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,NGOC-THAM,Bullion,88.600 x1000đ/lượng,+142 x1000đ/lượng (13%),91.100 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 10:25:03,NGOC-THAM,Ring,88.600 x1000đ/lượng,+142 x1000đ/lượng (13%),90.800 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,DOJI,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,DOJI,Ring,90.000 x1000đ/lượng,+142 x1000đ/lượng (13%),91.000 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,PNJ,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,PNJ,Ring,89.800 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,SJC,Bullion,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,SJC,Ring,88.500 x1000đ/lượng,+142 x1000đ/lượng (13%),90.400 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:03,PHU-QUY,Bullion,88.700 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:03,PHU-QUY,Ring,89.700 x1000đ/lượng,+142 x1000đ/lượng (13%),91.200 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,BAO-TIN-MINH-CHAU,Bullion,88.700 x1000đ/lượng,+142 x1000đ/lượng (13%),90.500 x1000đ/lượng,-22 x1000đ/lượng (13%)
01/03/2025 13:15:04,BAO-TIN-MINH-CHAU,Ring,90.100 x1000đ/lượng,+142 x1000đ/lượng (13%),91.300 x1000đ/lượng,-22 x1000đ/lượng (13%)
